Pers. number	Subtype	End Date	upload_PENS	Wage Type	Wage Type Amount for Payments	Currency Key
4509		30.11.2020	01.11.2020	4026	30000	IDR
6435		30.11.2020	01.11.2020	4026	30000	IDR
5487		30.11.2020	01.11.2020	4026	30000	IDR
2972		30.11.2020	01.11.2020	4026	30000	IDR
2645		30.11.2020	01.11.2020	4026	30000	IDR
4863		30.11.2020	01.11.2020	4026	30000	IDR
5063		30.11.2020	01.11.2020	4026	30000	IDR
3579		30.11.2020	01.11.2020	4026	30000	IDR
4654		30.11.2020	01.11.2020	4026	30000	IDR
6080		30.11.2020	01.11.2020	4026	30000	IDR
5206		30.11.2020	01.11.2020	4026	30000	IDR
4553		30.11.2020	01.11.2020	4026	30000	IDR
4994		30.11.2020	01.11.2020	4026	30000	IDR
4356		30.11.2020	01.11.2020	4026	30000	IDR
5085		30.11.2020	01.11.2020	4026	30000	IDR
3215		30.11.2020	01.11.2020	4026	30000	IDR
6019		30.11.2020	01.11.2020	4026	30000	IDR
5082		30.11.2020	01.11.2020	4026	30000	IDR
4658		30.11.2020	01.11.2020	4026	30000	IDR
2486		30.11.2020	01.11.2020	4026	30000	IDR
3646		30.11.2020	01.11.2020	4026	30000	IDR
4983		30.11.2020	01.11.2020	4026	30000	IDR
2965		30.11.2020	01.11.2020	4026	30000	IDR
5568		30.11.2020	01.11.2020	4026	30000	IDR
2020		30.11.2020	01.11.2020	4026	30000	IDR
2382		30.11.2020	01.11.2020	4026	30000	IDR
3452		30.11.2020	01.11.2020	4026	30000	IDR
6063		30.11.2020	01.11.2020	4026	30000	IDR
4462		30.11.2020	01.11.2020	4026	30000	IDR
5585		30.11.2020	01.11.2020	4026	30000	IDR
5731		30.11.2020	01.11.2020	4026	30000	IDR
3017		30.11.2020	01.11.2020	4026	30000	IDR
2604		30.11.2020	01.11.2020	4026	30000	IDR
4591		30.11.2020	01.11.2020	4026	30000	IDR
3729		30.11.2020	01.11.2020	4026	30000	IDR
5185		30.11.2020	01.11.2020	4026	30000	IDR
6164		30.11.2020	01.11.2020	4026	30000	IDR
2968		30.11.2020	01.11.2020	4026	30000	IDR
5563		30.11.2020	01.11.2020	4026	30000	IDR
2202		30.11.2020	01.11.2020	4026	30000	IDR
1512		30.11.2020	01.11.2020	4026	30000	IDR
5373		30.11.2020	01.11.2020	4026	30000	IDR
3619		30.11.2020	01.11.2020	4026	30000	IDR
2641		30.11.2020	01.11.2020	4026	30000	IDR
2386		30.11.2020	01.11.2020	4026	30000	IDR
6562		30.11.2020	01.11.2020	4026	30000	IDR
3185		30.11.2020	01.11.2020	4026	30000	IDR
5136		30.11.2020	01.11.2020	4026	30000	IDR
